keys,en,cs,sk,de,es,fi,fr,nb,pl,sv,pt_BR,pt_PT,it,da,nl,ja,ko,tr,vi,id
LANGUAGE_ENGLISH,English,Angličtina,Angličtina,Englisch,Inglés,Englanti,Anglais,Engelsk,Angielski,Engelska,Inglês,Inglês,Inglese,Engelsk,Engels,英語,영어,İngilizce,Tiếng Anh,Bahasa Inggris
LANGUAGE_CZECH,Czech,Čeština,Čeština,Tschechisch,Checo,Tšekki,Tchèque,Tsjekkisk,Czeski,Tjeckiska,Tcheco,Checo,Ceco,Tjekkisk,Tsjechisch,チェコ語,체코어,Çekçe,Tiếng Séc,Bahasa Ceko
LANGUAGE_SLOVAK,Slovak,Slovenština,Slovenčina,Slowakisch,Eslovaco,Slovakki,Slovaque,Slovakisk,Słowacki,Slovakiska,Eslovaco,Eslovaco,Slovacco,Slovakisk,Slowaaks,スロバキア語,슬로바키아어,Slovakça,Tiếng Slovak,Bahasa Slowakia
LANGUAGE_GERMAN,German,Němčina,Nemčina,Deutsch,Alemán,Saksa,Allemand,Tysk,Niemiecki,Tyska,Alemão,Alemão,Tedesco,Tysk,Duits,ドイツ語,독일어,Almanca,Tiếng Đức,Bahasa Jerman
LANGUAGE_SPANISH,Spanish,Španělština,Španielčina,Spanisch,Español,Espanja,Espagnol,Spansk,Hiszpański,Spanska,Espanhol,Espanhol,Spagnolo,Spansk,Spaans,スペイン語,스페인어,İspanyolca,Tiếng Tây Ban Nha,Bahasa Spanyol
LANGUAGE_FINNISH,Finnish,Finština,Fínčina,Finnisch,Finés,Suomi,Finnois,Finsk,Fiński,Finska,Finlandês,Finlandês,Finlandese,Finsk,Fins,フィンランド語,핀란드어,Fince,Tiếng Phần Lan,Bahasa Finlandia
LANGUAGE_FRENCH,French,Francouzština,Francúzština,Französisch,Francés,Ranska,Français,Fransk,Francuski,Franska,Francês,Francês,Francese,Fransk,Frans,フランス語,프랑스어,Fransızca,Tiếng Pháp,Bahasa Prancis
LANGUAGE_NORWEGIAN,Norwegian,Norština,Nórčina,Norwegisch,Noruego,Norja,Norvégien,Norsk,Norweski,Norska,Norueguês,Norueguês,Norvegese,Norsk,Noors,ノルウェー語,노르웨이어,Norveççe,Tiếng Na Uy,Bahasa Norwegia
LANGUAGE_POLISH,Polish,Polština,Poľština,Polnisch,Polaco,Puola,Polonais,Polsk,Polski,Polska,Polonês,Polaco,Polacco,Polsk,Pools,ポーランド語,폴란드어,Lehçe,Tiếng Ba Lan,Bahasa Polandia
LANGUAGE_SWEDISH,Swedish,Švédština,Švédčina,Schwedisch,Sueco,Ruotsi,Suédois,Svensk,Szwedzki,Svenska,Sueco,Sueco,Svedese,Svensk,Zweeds,スウェーデン語,스웨덴어,İsveççe,Tiếng Thụy Điển,Bahasa Swedia
LANGUAGE_PORTUGUESE_BRAZIL,Portuguese (Brazil),Portugalština (Brazílie),Portugalčina (Brazília),Portugiesisch (Brasilien),Portugués (Brasil),Portugali (Brasilia),Portugais (Brésil),Portugisisk (Brasil),Portugalski (Brazylia),Portugisiska (Brasilien),Português (Brasil),Português (Brasil),Portoghese (Brasile),Portugisisk (Brasilien),Portugees (Brazilië),ポルトガル語（ブラジル）,포르투갈어(브라질),Portekizce (Brezilya),Tiếng Bồ Đào Nha (Brazil),Bahasa Portugis (Brasil)
LANGUAGE_PORTUGUESE_PORTUGAL,Portuguese (Portugal),Portugalština (Portugalsko),Portugalčina (Portugalsko),Portugiesisch (Portugal),Portugués (Portugal),Portugali (Portugali),Portugais (Portugal),Portugisisk (Portugal),Portugalski (Portugalia),Portugisiska (Portugal),Português (Portugal),Português (Portugal),Portoghese (Portogallo),Portugisisk (Portugal),Portugees (Portugal),ポルトガル語（ポルトガル）,포르투갈어(포르투갈),Portekizce (Portekiz),Tiếng Bồ Đào Nha (Bồ Đào Nha),Bahasa Portugis (Portugal)
LANGUAGE_ITALIAN,Italian,Italština,Taliančina,Italienisch,Italiano,Italia,Italien,Italiensk,Włoski,Italienska,Italiano,Italiano,Italiano,Italiensk,Italiaans,イタリア語,이탈리아어,İtalyanca,Tiếng Ý,Bahasa Italia
LANGUAGE_DANISH,Danish,Dánština,Dánčina,Dänisch,Danés,Tanska,Danois,Dansk,Duński,Danska,Dinamarquês,Dinamarquês,Danese,Dansk,Deens,デンマーク語,덴마크어,Danca,Tiếng Đan Mạch,Bahasa Denmark
LANGUAGE_DUTCH,Dutch,Nizozemština,Holandčina,Niederländisch,Neerlandés,Hollanti,Néerlandais,Nederlandsk,Niderlandzki,Nederländska,Holandês,Neerlandês,Olandese,Nederlandsk,Nederlands,オランダ語,네덜란드어,Felemenkçe,Tiếng Hà Lan,Bahasa Belanda
LANGUAGE_JAPANESE,Japanese,Japonština,Japončina,Japanisch,Japonés,Japani,Japonais,Japansk,Japoński,Japanska,Japonês,Japonês,Giapponese,Japansk,Japans,日本語,일본어,Japonca,Tiếng Nhật,Bahasa Jepang
LANGUAGE_KOREAN,Korean,Korejština,Kórejčina,Koreanisch,Coreano,Korea,Coréen,Koreansk,Koreański,Koreanska,Coreano,Coreano,Coreano,Koreansk,Koreaans,韓国語,한국어,Korece,Tiếng Hàn,Bahasa Korea
LANGUAGE_TURKISH,Turkish,Turečtina,Turečtina,Türkisch,Turco,Turkki,Turc,Tyrkisk,Turecki,Turkiska,Turco,Turco,Turco,Tyrkisk,Turks,トルコ語,튀르키예어,Türkçe,Tiếng Thổ Nhĩ Kỳ,Bahasa Turki
LANGUAGE_VIETNAMESE,Vietnamese,Vietnamština,Vietnamčina,Vietnamesisch,Vietnamita,Vietnam,Vietnamien,Vietnamesisk,Wietnamski,Vietnamesiska,Vietnamita,Vietnamita,Vietnamita,Vietnamesisk,Vietnamees,ベトナム語,베트남어,Vietnamca,Tiếng Việt,Bahasa Vietnam
LANGUAGE_INDONESIAN,Indonesian,Indonéština,Indonézština,Indonesisch,Indonesio,Indonesia,Indonésien,Indonesisk,Indonezyjski,Indonesiska,Indonésio,Indonésio,Indonesiano,Indonesisk,Indonesisch,インドネシア語,인도네시아어,Endonezce,Tiếng Indonesia,Bahasa Indonesia
OPENING_LOADING,Getting things ready…,Připravujeme hru…,Pripravujeme hru…,Alles wird vorbereitet…,Preparando todo…,Valmistellaan…,Préparation en cours…,Gjør klar…,Przygotowujemy grę…,Förbereder…,Preparando tudo…,A preparar tudo…,Prepariamo tutto…,Gør alting klar…,Alles wordt klaargezet…,準備しています…,준비 중…,Her şey hazırlanıyor…,Đang chuẩn bị mọi thứ…,Menyiapkan semuanya…
OPENING_LANGUAGE_PROMPT,Choose your language,Vyber si jazyk,Vyber si jazyk,Wähle deine Sprache,Elige tu idioma,Valitse kielesi,Choisis ta langue,Velg språk,Wybierz swój język,Välj ditt språk,Escolha seu idioma,Escolhe o teu idioma,Scegli la tua lingua,Vælg dit sprog,Kies je taal,言語を選んでください,언어를 선택하세요,Dilini seç,Chọn ngôn ngữ của bạn,Pilih bahasamu
HOME_COINS,Coins: {count},Mince: {count},Mince: {count},Münzen: {count},Monedas: {count},Kolikot: {count},Pièces : {count},Mynter: {count},Monety: {count},Mynt: {count},Moedas: {count},Moedas: {count},Monete: {count},Mønter: {count},Munten: {count},コイン：{count},코인: {count},Jeton: {count},Xu: {count},Koin: {count}
HOME_XP,Experience: {count},Zkušenosti: {count},Skúsenosti: {count},Erfahrung: {count},Experiencia: {count},Kokemus: {count},Expérience : {count},Erfaring: {count},Doświadczenie: {count},Erfarenhet: {count},Experiência: {count},Experiência: {count},Esperienza: {count},Erfaring: {count},Ervaring: {count},経験値：{count},경험치: {count},Deneyim: {count},Kinh nghiệm: {count},Pengalaman: {count}
HOME_LEVEL,Level {level},Úroveň {level},Úroveň {level},Level {level},Nivel {level},Taso {level},Niveau {level},Nivå {level},Poziom {level},Nivå {level},Nível {level},Nível {level},Livello {level},Niveau {level},Niveau {level},レベル{level},레벨 {level},Seviye {level},Cấp {level},Level {level}
HOME_PET_HINT,Stroke the blob to say hello!,Pohlaď Numblopa a pozdrav ho!,Pohlaď Numblopa a pozdrav ho!,Streichle Numblop und sag hallo!,¡Acaricia a Numblop para saludarlo!,Silitä Numblopia ja tervehdi!,Caresse Numblop pour lui dire bonjour !,Klapp Numblop og si hei!,Pogłaszcz Numblopa i przywitaj się!,Klappa Numblop och säg hej!,Faça carinho no Numblop para dizer oi!,Faz uma festa ao Numblop para dizer olá!,Accarezza Numblop per salutarlo!,Stryg Numblop for at sige hej!,Aai Numblop om hallo te zeggen!,Numblopをなでてあいさつしよう！,Numblop을 쓰다듬어 인사해 보세요!,Merhaba demek için Numblop'u okşa!,Vuốt ve Numblop để chào nhé!,Elus Numblop untuk menyapa!
HOME_PET_REACTION,Numblop is happy to see you!,Numblop tě rád vidí!,Numblop ťa rád vidí!,Numblop freut sich über dich!,¡Numblop se alegra de verte!,Numblop ilahtuu sinusta!,Numblop est content de te voir !,Numblop er glad for å se deg!,Numblop bardzo się cieszy!,Numblop blir glad att se dig!,Numblop está feliz em ver você!,O Numblop está feliz por te ver!,Numblop è felice di vederti!,Numblop er glad for at se dig!,Numblop is blij je te zien!,Numblopは会えてうれしいみたい！,Numblop이 만나서 기뻐해요!,Numblop seni gördüğüne sevindi!,Numblop rất vui khi gặp bạn!,Numblop senang bertemu denganmu!
HOME_PET_ACCESSIBLE,Pet Numblop,Pohladit Numblopa,Pohladiť Numblopa,Numblop streicheln,Acariciar a Numblop,Silitä Numblopia,Caresser Numblop,Klapp Numblop,Pogłaskaj Numblopa,Klappa Numblop,Fazer carinho no Numblop,Fazer uma festa ao Numblop,Accarezza Numblop,Stryg Numblop,Aai Numblop,Numblopをなでる,Numblop 쓰다듬기,Numblop'u okşa,Vuốt ve Numblop,Elus Numblop
HOME_REWARD_REACTION,Great practice! Numblop is proud of you.,Skvělé procvičování! Numblop je na tebe pyšný.,Skvelé precvičovanie! Numblop je na teba hrdý.,Tolle Übung! Numblop ist stolz auf dich.,¡Buen trabajo! Numblop está orgulloso de ti.,Hienoa harjoittelua! Numblop on ylpeä sinusta.,Bel entraînement ! Numblop est fier de toi.,Flott øving! Numblop er stolt av deg.,Świetne ćwiczenie! Numblop jest z ciebie dumny.,Bra övat! Numblop är stolt över dig.,Ótima prática! Numblop tem orgulho de você.,Boa prática! O Numblop está orgulhoso de ti.,Ottimo allenamento! Numblop è fiero di te.,Godt øvet! Numblop er stolt af dig.,Goed geoefend! Numblop is trots op je.,よく練習したね！Numblopもほこらしそう。,정말 잘 연습했어요! Numblop이 자랑스러워해요.,Harika çalıştın! Numblop seninle gurur duyuyor.,Luyện tập tuyệt lắm! Numblop rất tự hào về bạn.,Latihan yang hebat! Numblop bangga padamu.
PRACTICE_PROGRESS,Question {current} of {total},Příklad {current} z {total},Príklad {current} z {total},Aufgabe {current} von {total},Ejercicio {current} de {total},Tehtävä {current}/{total},Calcul {current} sur {total},Oppgave {current} av {total},Zadanie {current} z {total},Uppgift {current} av {total},Pergunta {current} de {total},Pergunta {current} de {total},Domanda {current} di {total},Spørgsmål {current} af {total},Vraag {current} van {total},{total}問中{current}問目,{total}문제 중 {current}번,{total} sorudan {current}.,Câu {current} trên {total},Soal {current} dari {total}
PRACTICE_CHOOSE_ANSWER,Choose the answer,Vyber výsledek,Vyber výsledok,Wähle das Ergebnis,Elige el resultado,Valitse vastaus,Choisis le résultat,Velg svaret,Wybierz wynik,Välj svaret,Escolha a resposta,Escolhe a resposta,Scegli la risposta,Vælg svaret,Kies het antwoord,答えを選ぼう,정답을 선택하세요,Cevabı seç,Chọn đáp án,Pilih jawaban
PRACTICE_EXIT,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
PRACTICE_EXIT_ACCESSIBLE,Leave this practice,Ukončit procvičování,Ukončiť precvičovanie,Übung beenden,Salir de la práctica,Lopeta harjoitus,Quitter l'entraînement,Avslutt økten,Zakończ ćwiczenie,Avsluta övningen,Sair desta prática,Sair desta prática,Esci da questo allenamento,Forlad øvelsen,Deze oefening verlaten,この練習をやめる,이 연습 나가기,Bu alıştırmadan çık,Rời lượt luyện tập này,Keluar dari latihan ini
PRACTICE_ENTER_ANSWER,Enter the answer,Zadej výsledek,Zadaj výsledok,Gib das Ergebnis ein,Escribe el resultado,Kirjoita vastaus,Saisis le résultat,Skriv inn svaret,Wpisz wynik,Skriv in svaret,Digite a resposta,Introduz a resposta,Inserisci la risposta,Indtast svaret,Vul het antwoord in,答えを入力しよう,정답을 입력하세요,Cevabı gir,Nhập đáp án,Masukkan jawaban
PRACTICE_CORRECT,Nice work!,Výborně!,Výborne!,Super gemacht!,¡Muy bien!,Hienoa työtä!,Bien joué !,Bra jobba!,Świetnie!,Bra jobbat!,Muito bem!,Muito bem!,Ben fatto!,Godt klaret!,Goed gedaan!,よくできました！,잘했어요!,Aferin!,Làm tốt lắm!,Bagus!
PRACTICE_INCORRECT,Let's look at it together.,Podíváme se na to spolu.,Pozrieme sa na to spolu.,Schauen wir es uns zusammen an.,Vamos a verlo juntos.,Katsotaan tätä yhdessä.,Regardons cela ensemble.,La oss se på det sammen.,Spójrzmy na to razem.,Vi tittar på det tillsammans.,Vamos ver juntos.,Vamos ver em conjunto.,Guardiamolo insieme.,Lad os se på det sammen.,Laten we er samen naar kijken.,いっしょに見てみよう。,함께 살펴봐요.,Birlikte bakalım.,Hãy cùng xem nhé.,Mari kita lihat bersama.
PRACTICE_MILESTONE_TITLE,Success,Úspěch,Úspech,Erfolg,Logro,Saavutus,Réussite,Bragd,Sukces,Framgång,Sucesso,Sucesso,Successo,Flot klaret,Succes,成功,성공,Başardın,Thành công,Berhasil
PRACTICE_MILESTONE_REWARD,+{coins} coins,+{coins} mincí,+{coins} mincí,+{coins} Münzen,+{coins} monedas,+{coins} kolikkoa,+{coins} pièces,+{coins} mynter,+{coins} monet,+{coins} mynt,+{coins} moedas,+{coins} moedas,+{coins} monete,+{coins} mønter,+{coins} munten,コイン+{coins},코인 +{coins},+{coins} jeton,+{coins} xu,+{coins} koin
PRACTICE_MILESTONE_SKIP_ACCESSIBLE,Continue now,Pokračovat hned,Pokračovať hneď,Jetzt weiter,Continuar ahora,Jatka heti,Continuer tout de suite,Fortsett nå,Kontynuuj teraz,Fortsätt nu,Continuar agora,Continuar agora,Continua ora,Fortsæt nu,Nu doorgaan,今すぐ続ける,지금 계속하기,Şimdi devam et,Tiếp tục ngay,Lanjutkan sekarang
PRACTICE_CONTINUE,Continue,Pokračovat,Pokračovať,Weiter,Continuar,Jatka,Continuer,Fortsett,Dalej,Fortsätt,Continuar,Continuar,Continua,Fortsæt,Doorgaan,続ける,계속,Devam et,Tiếp tục,Lanjutkan
PRACTICE_DOTS_HINT,Count the dots.,Spočítej tečky.,Spočítaj bodky.,Zähl die Punkte.,Cuenta los puntos.,Laske pisteet.,Compte les points.,Tell prikkene.,Policz kropki.,Räkna prickarna.,Conte os pontos.,Conta os pontos.,Conta i puntini.,Tæl prikkerne.,Tel de stippen.,点を数えてみよう。,점을 세어 보세요.,Noktaları say.,Đếm các chấm.,Hitung titik-titiknya.
PRACTICE_DOTS_ZERO_HINT,Zero groups. Nothing to count.,Nula skupin. Není co počítat.,Nula skupín. Nie je čo počítať.,Null Gruppen. Nichts zu zählen.,Cero grupos. Nada que contar.,Nolla ryhmää. Ei laskettavaa.,Zéro groupe. Rien à compter.,Null grupper. Ingenting å telle.,Zero grup. Nie ma czego liczyć.,Noll grupper. Inget att räkna.,Zero grupos. Não há nada para contar.,Zero grupos. Não há nada para contar.,Zero gruppi. Non c'è niente da contare.,Nul grupper. Intet at tælle.,Nul groepjes. Niets om te tellen.,グループは0個。数えるものはありません。,묶음이 0개예요. 셀 것이 없어요.,Sıfır grup. Sayılacak bir şey yok.,Không có nhóm nào. Không có gì để đếm.,Nol kelompok. Tidak ada yang perlu dihitung.
KEYPAD_DELETE,Delete the last digit,Smazat poslední číslici,Zmazať poslednú číslicu,Letzte Ziffer löschen,Borrar el último dígito,Poista viimeinen numero,Effacer le dernier chiffre,Slett siste siffer,Usuń ostatnią cyfrę,Radera sista siffran,Apagar o último dígito,Apagar o último algarismo,Cancella l'ultima cifra,Slet det sidste ciffer,Laatste cijfer wissen,最後の数字を消す,마지막 숫자 지우기,Son basamağı sil,Xóa chữ số cuối,Hapus angka terakhir
KEYPAD_SUBMIT,Submit the answer,Potvrdit výsledek,Potvrdiť výsledok,Ergebnis bestätigen,Confirmar el resultado,Vahvista vastaus,Valider le résultat,Bekreft svaret,Zatwierdź wynik,Bekräfta svaret,Enviar a resposta,Enviar a resposta,Conferma la risposta,Indsend svaret,Antwoord indienen,答えを決定する,정답 제출,Cevabı gönder,Gửi đáp án,Kirim jawaban
REWARD_TITLE,You found a reward chest!,Našel jsi truhlu s odměnou!,Našiel si truhlicu s odmenou!,Du hast eine Schatztruhe gefunden!,¡Has encontrado un cofre!,Löysit palkintoarkun!,Tu as trouvé un coffre !,Du fant en skattekiste!,Znalazłeś skrzynię z nagrodą!,Du hittade en skattkista!,Você encontrou um baú de recompensas!,Encontraste um baú de recompensas!,Hai trovato uno scrigno premio!,Du fandt en belønningskiste!,Je hebt een schatkist gevonden!,ごほうびの宝箱を見つけた！,보상 상자를 찾았어요!,Bir ödül sandığı buldun!,Bạn đã tìm thấy rương phần thưởng!,Kamu menemukan peti hadiah!
REWARD_TAP_PROGRESS,Tap the chest to open it!,Klepni na truhlu a otevři ji!,Klepni na truhlicu a otvor ju!,Tippe auf die Truhe um sie zu öffnen!,¡Toca el cofre para abrirlo!,Napauta arkkua ja avaa se!,Touche le coffre pour l'ouvrir !,Trykk på kisten for å åpne den!,Dotknij skrzyni i otwórz ją!,Tryck på kistan för att öppna den!,Toque no baú para abrir!,Toca no baú para o abrir!,Tocca lo scrigno per aprirlo!,Tryk på kisten for at åbne den!,Tik op de kist om hem te openen!,宝箱をタップして開けよう！,상자를 눌러 열어 보세요!,Açmak için sandığa dokun!,Chạm vào rương để mở!,Ketuk peti untuk membukanya!
REWARD_OPENED,Your reward!,Tvoje odměna!,Tvoja odmena!,Deine Belohnung!,¡Tu recompensa!,Palkintosi!,Ta récompense !,Belønningen din!,Twoja nagroda!,Din belöning!,Sua recompensa!,A tua recompensa!,Il tuo premio!,Din belønning!,Je beloning!,ごほうび！,보상이에요!,Ödülün!,Phần thưởng của bạn!,Hadiahmu!
REWARD_COINS_TOTAL,{count} coins total,Celkem {count} mincí,Celkovo {count} mincí,Insgesamt {count} Münzen,{count} monedas en total,Yhteensä {count} kolikkoa,{count} pièces au total,Totalt {count} mynter,Łącznie {count} monet,Totalt {count} mynt,{count} moedas no total,{count} moedas no total,{count} monete in totale,{count} mønter i alt,{count} munten in totaal,コイン合計{count}枚,총 {count}코인,Toplam {count} jeton,Tổng cộng {count} xu,Total {count} koin
REWARD_XP_TOTAL,{count} experience total,Celkem {count} zkušeností,Celkovo {count} skúseností,Insgesamt {count} Erfahrung,{count} de experiencia en total,Yhteensä {count} kokemusta,{count} d'expérience au total,Totalt {count} erfaring,Łącznie {count} doświadczenia,Totalt {count} erfarenhet,{count} de experiência no total,{count} de experiência no total,{count} punti esperienza totali,{count} erfaring i alt,{count} ervaring in totaal,経験値合計{count},총 경험치 {count},Toplam {count} deneyim,Tổng cộng {count} kinh nghiệm,Total {count} pengalaman
REWARD_CHEST_ACCESSIBLE,Tap the reward chest,Klepnout na truhlu s odměnou,Klepnúť na truhlicu s odmenou,Auf die Schatztruhe tippen,Tocar el cofre de recompensa,Napauta palkintoarkkua,Toucher le coffre de récompense,Trykk på skattekisten,Dotknij skrzyni z nagrodą,Tryck på skattkistan,Tocar no baú de recompensas,Tocar no baú de recompensas,Tocca lo scrigno premio,Tryk på belønningskisten,Tik op de schatkist,ごほうびの宝箱をタップ,보상 상자 누르기,Ödül sandığına dokun,Chạm vào rương phần thưởng,Ketuk peti hadiah
REWARD_TAP_CONTINUE,Tap anywhere to continue,Klepni kamkoli a pokračuj,Klepni kamkoľvek a pokračuj,Tippe irgendwohin um weiterzumachen,Toca en cualquier sitio para continuar,Napauta mistä tahansa jatkaaksesi,Touche l'écran pour continuer,Trykk hvor som helst for å fortsette,Dotknij dowolnego miejsca aby kontynuować,Tryck var som helst för att fortsätta,Toque em qualquer lugar para continuar,Toca em qualquer lugar para continuar,Tocca un punto qualsiasi per continuare,Tryk hvor som helst for at fortsætte,Tik ergens om door te gaan,どこかをタップして続ける,아무 곳이나 눌러 계속하세요,Devam etmek için herhangi bir yere dokun,Chạm vào bất cứ đâu để tiếp tục,Ketuk di mana saja untuk melanjutkan
NAV_OUTFIT,Outfit,Oblečení,Oblečenie,Outfit,Ropa,Asu,Tenue,Antrekk,Ubranie,Kläder,Visual,Visual,Look,Udseende,Outfit,きせかえ,꾸미기,Kıyafet,Trang phục,Pakaian
COSMETICS_TITLE,Cosmetics,Kosmetika,Kozmetika,Styling,Estilo,Tyyli,Style,Stil,Wygląd,Stil,Itens visuais,Visuais,Accessori,Tilbehør,Accessoires,きせかえ,꾸미기,Aksesuarlar,Trang trí,Kosmetik
COSMETICS_SUBTITLE,Make Numblop your own!,Uprav si Numblopa podle sebe!,Uprav si Numblopa podľa seba!,Mach Numblop zu deinem!,¡Personaliza a Numblop!,Muokkaa Numblopista omasi!,Personnalise Numblop !,Gjør Numblop til din egen!,Dostosuj Numblopa do siebie!,Gör Numblop till din egen!,Deixe o Numblop do seu jeito!,Personaliza o teu Numblop!,Rendi Numblop tutto tuo!,Gør Numblop helt til din egen!,Maak Numblop helemaal van jou!,Numblopを自分らしくしよう！,나만의 Numblop을 꾸며 보세요!,Numblop'u kendine göre tasarla!,Biến Numblop thành của riêng bạn!,Buat Numblop jadi milikmu!
COSMETICS_COINS,{count} coins,{count} mincí,{count} mincí,{count} Münzen,{count} monedas,{count} kolikkoa,{count} pièces,{count} mynter,{count} monet,{count} mynt,{count} moedas,{count} moedas,{count} monete,{count} mønter,{count} munten,コイン{count}枚,{count}코인,{count} jeton,{count} xu,{count} koin
COSMETICS_BODY_COLOR,Body color,Barva těla,Farba tela,Körperfarbe,Color del cuerpo,Vartalon väri,Couleur du corps,Kroppsfarge,Kolor ciała,Kroppsfärg,Cor do corpo,Cor do corpo,Colore del corpo,Kropsfarve,Lichaamskleur,体の色,몸 색상,Gövde rengi,Màu cơ thể,Warna tubuh
COSMETICS_BELLY,Belly,Bříško,Bruško,Bauch,Barriga,Maha,Ventre,Mage,Brzuszek,Mage,Barriga,Barriga,Pancia,Mave,Buik,おなか,배,Karın,Bụng,Perut
COSMETICS_CREAM,Cream,Krémová,Krémová,Creme,Crema,Kerma,Crème,Krem,Kremowy,Gräddvit,Creme,Creme,Crema,Creme,Crème,クリーム,크림색,Krem,Màu kem,Krem
COSMETICS_COLOR_HINT,Tap a color to preview it.,Klepnutím si barvu vyzkoušej.,Klepnutím si farbu vyskúšaj.,Tippe eine Farbe an um sie zu testen.,Toca un color para probarlo.,Napauta väriä ja kokeile sitä.,Touche une couleur pour l'essayer.,Trykk på en farge for å prøve den.,Dotknij koloru aby go przymierzyć.,Tryck på en färg för att testa den.,Toque em uma cor para ver como fica.,Toca numa cor para a pré-visualizar.,Tocca un colore per vederlo in anteprima.,Tryk på en farve for at se den.,Tik op een kleur om hem te bekijken.,色をタップして試してみよう。,색상을 눌러 미리 보세요.,Ön izleme için bir renge dokun.,Chạm vào một màu để xem thử.,Ketuk warna untuk melihat pratinjau.
COSMETICS_GREEN,Green,Zelená,Zelená,Grün,Verde,Vihreä,Vert,Grønn,Zielony,Grön,Verde,Verde,Verde,Grøn,Groen,緑,초록색,Yeşil,Xanh lá,Hijau
COSMETICS_BLUE,Blue,Modrá,Modrá,Blau,Azul,Sininen,Bleu,Blå,Niebieski,Blå,Azul,Azul,Blu,Blå,Blauw,青,파란색,Mavi,Xanh dương,Biru
COSMETICS_PINK,Pink,Růžová,Ružová,Rosa,Rosa,Pinkki,Rose,Rosa,Różowy,Rosa,Rosa,Rosa,Rosa,Lyserød,Roze,ピンク,분홍색,Pembe,Hồng,Merah muda
COSMETICS_PURPLE,Purple,Fialová,Fialová,Lila,Morado,Violetti,Violet,Lilla,Fioletowy,Lila,Roxo,Roxo,Viola,Lilla,Paars,紫,보라색,Mor,Tím,Ungu
COSMETICS_ORANGE,Orange,Oranžová,Oranžová,Orange,Naranja,Oranssi,Orange,Oransje,Pomarańczowy,Orange,Laranja,Laranja,Arancione,Orange,Oranje,オレンジ,주황색,Turuncu,Cam,Oranye
COSMETICS_YELLOW,Yellow,Žlutá,Žltá,Gelb,Amarillo,Keltainen,Jaune,Gul,Żółty,Gul,Amarelo,Amarelo,Giallo,Gul,Geel,黄色,노란색,Sarı,Vàng,Kuning
COSMETICS_SELECTED,Selected,Vybraná,Vybraná,Ausgewählt,Elegido,Valittu,Choisi,Valgt,Wybrany,Vald,Selecionado,Selecionado,Selezionato,Valgt,Geselecteerd,選択中,선택됨,Seçili,Đã chọn,Dipilih
COSMETICS_OWNED,Owned,Vlastníš,Vlastníš,Freigeschaltet,Desbloqueado,Omistat,Débloqué,Låst opp,Masz,Upplåst,Adquirido,Adquirido,Posseduto,Ejet,In bezit,入手済み,보유 중,Sahip olunan,Đã sở hữu,Dimiliki
COSMETICS_FREE,Free,Zdarma,Zadarmo,Gratis,Gratis,Ilmainen,Gratuit,Gratis,Za darmo,Gratis,Grátis,Grátis,Gratis,Gratis,Gratis,無料,무료,Ücretsiz,Miễn phí,Gratis
COSMETICS_PRICE,{price} coins,{price} mincí,{price} mincí,{price} Münzen,{price} monedas,{price} kolikkoa,{price} pièces,{price} mynter,{price} monet,{price} mynt,{price} moedas,{price} moedas,{price} monete,{price} mønter,{price} munten,コイン{price}枚,{price}코인,{price} jeton,{price} xu,{price} koin
COSMETICS_EQUIPPED,Equipped!,Nasazeno!,Nasadené!,Angezogen!,¡Puesto!,Puettu!,Équipé !,På!,Założone!,Påsatt!,Equipado!,Equipado!,Indossato!,Taget på!,In gebruik!,装着中！,착용 중!,Kullanılıyor!,Đã trang bị!,Dipakai!
COSMETICS_PREVIEWING,Previewing: {color},Zkoušíš: {color},Skúšaš: {color},Vorschau: {color},Probando: {color},Kokeilussa: {color},Aperçu : {color},Prøver: {color},Przymierzasz: {color},Testar: {color},Visualizando: {color},Pré-visualização: {color},Anteprima: {color},Viser: {color},Voorbeeld: {color},お試し中：{color},미리 보기: {color},Ön izleme: {color},Xem thử: {color},Pratinjau: {color}
COSMETICS_NOT_ENOUGH,Not enough coins yet.,Zatím nemáš dost mincí.,Zatiaľ nemáš dosť mincí.,Noch nicht genug Münzen.,Aún no tienes monedas suficientes.,Kolikoita ei ole vielä tarpeeksi.,Pas encore assez de pièces.,Ikke nok mynter ennå.,Nie masz jeszcze dość monet.,Inte tillräckligt med mynt än.,Ainda não há moedas suficientes.,Ainda não tens moedas suficientes.,Non hai ancora abbastanza monete.,Du har ikke mønter nok endnu.,Je hebt nog niet genoeg munten.,コインがまだ足りません。,아직 코인이 부족해요.,Henüz yeterli jetonun yok.,Bạn chưa có đủ xu.,Koinmu belum cukup.
COSMETICS_PURCHASED,Unlocked and equipped!,Odemčeno a nasazeno!,Odomknuté a nasadené!,Freigeschaltet und angezogen!,¡Desbloqueado y puesto!,Avattu ja puettu!,Débloqué et équipé !,Låst opp og på!,Odblokowane i założone!,Upplåst och påsatt!,Desbloqueado e equipado!,Desbloqueado e equipado!,Sbloccato e indossato!,Låst op og taget på!,Ontgrendeld en in gebruik!,アンロックして装着しました！,잠금 해제하고 착용했어요!,Açıldı ve kullanılıyor!,Đã mở khóa và trang bị!,Terbuka dan dipakai!
